" and "," e "
"Local Server","Servidor Local"
"Local/Remote Server","Servidor Local/Remoto"
"Log Out","Sair"
"Logged in as %s","Usuário %s"
"MS Excel XML","MS Excel XML"
"Magento Core Api","API Core Magento"
"Magento Core Api Section","Seção API do Magento Core"
"Magento Logo","Logo do Magento"
"Magento ver. %s","Magento versão %s"
"Magento&trade; is a trademark of Irubin Consulting Inc. DBA Varien.<br/>Copyright &copy; %s Irubin Consulting Inc.","Magento&trade; é uma marca registrada da Irubin Consulting Inc. DBA Varien.<br/>Copyright &copy; %s Irubin Consulting Inc."
"Make sure that data encoding in the file is consistent and saved in one of supported encodings (UTF-8 or ANSI).","Tenha certeza de que o enconding do arquivo é consistente e salve com formato suportado (UTF-8 ou ANSI)."
"Manage Stores","Gerenciar Lojas"
"Max","Max"
"Min","Min"
"N/A","N/A"
"Name","Nome"
"Name on Card","Nome no Cartão"
"Name on the Card: %s","Nome no Cartão: %s"
"Name:","Nome:"
"Next month (hold for menu)","Próximo mês (segurar para menu)"
"Next page","Próxima página"
"Next year (hold for menu)","Próximo ano (segurar para menu)"
"No","Não"
"No Data Found","Sem Dados"
"No information available.","Nenhuma informação disponível."
"No profile loaded...","Nenhum perfil carregado..."
"No search keywords.","Nenhum termo de pesquisa."
"None","Nenhum"
"Note:","Nota:"
"Number of records:","Número de registros:"
"Old rate:","Antiga taxa:"
"Only mapped fields","Apenas campos mapeados"
"Order ID","ID do Pedido"
"Order Totals","Total de Pedidos"
"Order cannot be placed.","Pedido não pode ser feito."
"Original Magento attribute names in first row:","Nome do Atributo Original do Magento na Primeira Linha:"
"Package","Pacote"
"Packages","Pacotes"
"Page","Página"
"Parent Transaction ID","ID Transação Parent"
"Passive mode","Modo Oculto"
"Password","Senha"
"Path","Diretório"
"Path:","Diretório:"
"Personal Information","Informação Pessoal"
"Phone:","Telefone:"
"Please Select","Selecione..."
"Please confirm site switching. All data that hasn\'t been saved will be lost.","Confirme a comutação do site. Todas as informações não salvas serão perdidas."
"Please continue with placing order.","Continue com o pedido atual."
"Please enter 6 or more characters.","Informe 6 ou mais caracteres."
"Please enter a number greater than 0 in this field.","Informe um número maior que 0 neste campo."
"Please enter a valid $ amount. For example $100.00.","Informe um valor válido em $ . Por exemplo $100.00."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Informe uma URL válida. Por exemplo http://www.example.com ou www.example.com"
"Please enter a valid URL. http:// is required","Informe uma URL válida. http:// é obrigatório"
"Please enter a valid credit card number.","Informe um número de cartão de crédito válido."
"Please enter a valid date.","Informe uma data válida."
"Please enter a valid email address. For example johndoe@domain.com.","Informe um endereço de email válido. Por exemplo johndoe@domain.com."
"Please enter a valid number in this field.","Informe um número válido neste campo."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Informe um número de telefone válido. Por exemplo (21) 3456-7890 ou 3123-4567."
"Please enter a valid social security number. For example 123-45-6789.","Informe um CPF válido. Por exemplo 123.453.678-9."
"Please enter a valid value from list","Informe um valor válido para a lista"
"Please enter a valid value, ex: 10,20,30","Informe um valor válido, ex: 10,20,30"
"Please enter a valid zip code.","Informe um CEP."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Informe um CEP válido. Por exemplo 880100500 ou 88100-500."
"Please enter valid password.","Informe uma senha válida."
"Please make sure that your changes were saved before running the profile.","Verifique se suas alterações foram salvas antes de continuar na conta."
"Please make sure your passwords match.","Verifique se as senhas estão corretas."
"Please select State/Province.","Selecione Estado..."
"Please select an option.","Selecione uma opção."
"Please select one of the above options.","Selecione uma das opções disponíveis."
"Please select one of the options.","Selecione uma opção."
"Please use in this field only ""a-z,0-9,_"".","Use neste campo apenas ""a-z,0-9,_""."
"Please use letters only (a-z) in this field.","Use apenas letras (a-z) neste campo."
"Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.","Use apenas números neste campo. Não utilize espaços ou outros caracteres como pontos ou vírgulas."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Use apenas letras (a-z) ou números (0-9) neste campo. Não utilize espaços ou outros caracteres."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Use apenas letras (a-z) ou números (0-9) ou espaços e # neste campo."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Use data no formato: dd/mm/yyyy. Por exemplo 17/03/2006 para 17th de Março, 2006."
"Please wait while the indexes are being refreshed.","Aguarde enquanto os índices são atualizados."
"Please wait, loading...","Carregando..."
"Prev. month (hold for menu)","Mês Anterior (segura para menu)"
"Prev. year (hold for menu)","Ano Anterior (segure para menu)"
"Preview","Visualizar"
"Previous page","Página Anterior"
"Price","Preço"
"Price:","Preço:"
"Product","Produto"
"Products","Produtos"
"Profile Information","Informações do Perfil"
"Qty","Qtd"
"Read details","Ler detalhes"
"Reference ID","ID de Referência"
"Remote FTP","FTP Remoto"
"Remove","Excluir"
"Resource Access","Acesso a Recursos"
"Resources","Recursos"
"Role Users","Permissões de Usuários"
"Roles","Permissões"
"Roles Resources","Recursos de Permissões"
"SKU","SKU"
"SKU:","SKU:"
"Select All","Selecionar Todos"
"Select Date","Selecionar Data"
"Select Range","Selecionar Intervalo"
"Select Visible","Selecionar Visíveis"
"Select date","Selecionar data"
"Shipment Comments","Comentários de Entrega"
"Shipment History","Histórico de Entrega"
"Shipping Address","Endereço de Entrega"
"Shipping address selection is not applicable","Endereço de entrega selecionado não está disponível"
"Shipping method selection is not applicable","Forma de entrega selecionado não está disponível"
"Show By","Exibir por"
"Show Report For","Exibir Relatório para"
"Some items in this order have different invoice and shipment types. You can create shipment only after the invoice is created.","Alguns itens deste pedido tem diferentes faturas e tipos de entregas. Você pode criar uma entrega apenas depois de criar uma fatura."
"Sort Order","Ordem"
"Spreadsheet Name:","Nome da Planilha:"
"Start Date","Data Início"
"Start/Reset Validation...","Iniciar/Reiniciar Validação..."
"Starting profile execution, please wait...","Iniciando execução de perfil, por favor aguarde..."
"State/Province:","Estado:"
"Status","Status"
"Status:","Status:"
"Stock Quantity:","Quantidade em Estoque:"
"Store:","Loja:"
"Switch/Solo card issue number: %s","Switch/Solo número de emissão do cartão: %s"
"Switch/Solo card start Date: %s/%s","Switch/Solo data de início de cartão: %s/%s"
"Switch/Solo/Maestro Only","Apenas Switch/Solo/Maestro"
"Switch/Solo/Maestro(UK Domestic) Only","Switch/Solo/Maestro(União Européia) Apenas"
"Switch/Solo/Maestro(UK Domestic) card issue number: %s","Switch/Solo/Maestro(União Européia) número de emissão do cartão: %s"
"Switch/Solo/Maestro(UK Domestic) card start Date: %s/%s","Switch/Solo/Maestro(União Européia) data de início de cartão: %s/%s"
"Target","Alvo"
"The card has failed verification with issuer bank.","A verificação do cartão com banco emissor."
"The information in this tab has been changed.","A informação desta guia foi alterada."
"There has been wrong payment information submitted or time limit has expired. Please, try again.","As informações de pagamento enviadas não são validas ou tempo limite esgotou. Tente novamente."
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Loja demonstração. Qualquer pedido feito nesta loja não será honrado."
"This is a required field.","Campo obrigatório."
"This tab contains invalid data. Please solve the problem before saving.","Esta guia contém dados inválidos. Resolva os problemas antes de salvar."
"Thumbnail","Miniatura"
"Time selection:","Hora de seleção:"
"Time:","Hora:"
"To","Para"
"Top 5 Search Terms","Top 5 Temos de Busca"
"Total %d records found","Total %d registros encontrados"
"Track Order","Localizar Pedido"
"Track this shipment","Localizar esta entrega"
"Transaction Data","Dados da Transação"
"Transaction Details","Detalhes da Transação"
"Transaction ID","ID da Transação"
"Transaction Type","Tipo da Transação"
"Type","Tipo"
"Type:","Tipo:"
"Unable to login.","Não foi possível acessar a conta."
"Unselect All","Desmarcar Todos"
"Unselect Visible","Desmarcar Visíveis"
"Updated At","Atualizado Em"
"Use Default Value","Usar Valor Padrão"
"User","Usuário"
"User Name","Nome de Usuário"
"User Roles","Permissões de Usuário"
"User name","Nome de Usuário"
"Users","Usuários"
"Value Delimiter:","Delimitador:"
"Verification Failed","Verificação Falhou"
"Verification Successful","Verificação com Sucesso"
"Verification cannot be processed","Verificação não pode ser processada"
"View","Visualizar"
"View Statistics for","Visualizar Estatísticas para"
"Visibility:","Visibilidade:"
"Warning! Empty value can cause problems with CSV format.","Atenção! Valores em branco podem causar problemas com formatos CSV."
"Warning!\r\nThis action will remove this user from already assigned role\r\nAre you sure?","Atenção!\r\nEsta ação pode excluir o usuário já atribuído a permissão\r\nTem certeza?"
"Warning!\r\nThis action will remove those users from already assigned roles\r\nAre you sure?","Atenção!\r\nEsta ação pode excluir todos usuários já atribuídos a permissão\r\nTem certeza?"
"Warning: Please do not close the window during importing/exporting data","Atenção: Não feche a janela durante importação/exportação dos dados"
"We detected that your JavaScript seem to be disabled.","Verificamos que seu JavaScript foi desativo."
"Web Services","Web Services"
"What is this?","O que é isso?"
"Yes","Sim"
"You have","Você possui"
"You must have JavaScript enabled in your browser to utilize the functionality of this website.","Você precisa habilitar o JavaScript no seu navegador para utilizar esta funcionalidade no website."
"Your account has been deactivated.","Sua conta foi desativada."
"Your server PHP settings allow you to upload files not more than %s at a time. Please modify post_max_size (currently is %s) and upload_max_filesize (currently is %s) values in php.ini if you want to upload larger files.","As opções de configuração do seu servidor PHP não permitem uploads maiores que %s por vez. Modifique post_max_size (atualmente é %s) e upload_max_filesize (atualmente é %s) no seu php.ini se quiser enviar arquivos maiores."
"Zip/Postal Code:","Cep:"
"critical","crítico"
"images/logo.gif","images/logo.gif"
"items selected","itens selecionados"
"major","principal"
"minor","menor"
"notice","notícia"
"of %s pages","de %s páginas"
"per page","por página"
"to","para"
